IP 地址,端口,运营商,延迟(ms),丢包率(%)
141.101.114.1,443,多线,60.5,0.1
172.64.75.141,443,联通,60.5,0.0
141.101.113.91,443,多线,63.3,0.1
172.64.79.47,443,联通,64.3,0.0
104.24.9.212,443,多线,64.9,0.0
172.64.33.223,443,联通,65.2,0.0
172.64.80.121,443,联通,65.3,0.0
104.25.4.6,443,多线,65.3,0.0
141.101.114.142,443,多线,66.1,0.1
104.24.185.141,443,多线,67.7,0.0
172.64.79.247,443,联通,67.9,0.0
141.101.114.34,443,多线,68.1,0.1
104.24.189.192,443,多线,68.2,0.0
104.21.232.159,443,多线,68.5,0.0
172.64.74.147,443,联通,68.7,0.0
141.101.113.238,443,多线,69.0,0.1
172.64.235.61,443,联通,69.1,0.0
141.101.115.192,443,多线,69.5,0.1
104.24.189.37,443,多线,69.7,0.0
104.24.169.32,443,多线,69.8,0.0
104.27.206.32,443,多线,69.8,0.0
141.101.115.107,443,多线,69.9,0.1
104.24.159.122,443,多线,69.9,0.0
141.101.115.170,443,多线,70.2,0.1
104.27.207.116,443,多线,70.5,0.0
172.64.34.107,443,联通,70.6,0.0
104.16.53.3,443,移动,70.7,0.1
172.64.82.99,443,联通,70.7,0.0
104.24.175.106,443,多线,70.8,0.0
141.101.113.61,443,多线,70.9,0.1
104.24.176.85,443,多线,71.0,0.0
104.24.176.255,443,多线,71.0,0.0
104.24.165.171,443,多线,71.1,0.0
141.101.115.224,443,多线,71.2,0.1
141.101.114.172,443,多线,71.4,0.1
104.24.160.41,443,多线,71.4,0.0
141.101.114.81,443,多线,71.7,0.1
141.101.115.116,443,多线,71.9,0.1
141.101.115.187,443,多线,72.3,0.1
104.24.174.132,443,多线,72.4,0.0
141.101.120.11,443,多线,72.7,0.1
104.21.89.177,443,多线,72.7,0.0
141.101.115.159,443,多线,72.9,0.1
141.101.113.103,443,多线,73.2,0.1
141.101.115.139,443,多线,73.2,0.1
141.101.115.201,443,多线,73.3,0.1
141.101.113.221,443,多线,73.3,0.1
172.64.34.167,443,联通,73.4,0.0
141.101.113.240,443,多线,73.6,0.1
172.64.68.23,443,联通,73.9,0.0
141.101.120.6,443,多线,73.9,0.1
104.24.176.180,443,多线,73.9,0.0
141.101.120.30,443,多线,74.2,0.1
104.24.182.59,443,多线,74.8,0.0
141.101.113.225,443,多线,75.0,0.1
141.101.114.41,443,多线,75.1,0.1
141.101.114.12,443,多线,75.2,0.1
104.24.160.116,443,多线,75.5,0.0
104.25.220.155,443,多线,75.5,0.0
141.101.115.144,443,多线,75.5,0.1
141.101.123.56,443,多线,75.6,0.1
104.24.183.228,443,多线,76.9,0.0
104.16.43.113,443,移动,77.5,0.1
104.24.178.63,443,多线,79.7,0.0
104.24.162.19,443,多线,81.0,0.0
104.24.88.188,443,多线,81.2,0.0
104.24.66.5,443,多线,81.4,0.0
104.24.81.110,443,多线,82.6,0.0
141.101.115.233,443,多线,85.8,0.1
104.24.5.66,443,多线,86.2,0.0
104.24.3.88,443,多线,86.4,0.0
104.21.46.25,443,多线,86.7,0.0
104.21.195.151,443,多线,86.7,0.0
141.101.115.176,443,多线,90.2,0.1
141.101.114.121,443,多线,90.6,0.1
141.101.114.143,443,多线,91.1,0.1
172.64.42.29,443,联通,91.1,0.0
141.101.114.61,443,多线,91.1,0.1
